,sport,date,athletes,moving_avg
8796,Athlétisme,2020-06-15,0.0,0.0
8797,Athlétisme,2020-06-16,0.0,0.0
8798,Athlétisme,2020-06-17,0.0,0.0
8799,Athlétisme,2020-06-18,0.0,0.0
8800,Athlétisme,2020-06-19,0.0,0.0
8801,Athlétisme,2020-06-20,0.0,0.0
8802,Athlétisme,2020-06-21,0.0,0.0
8803,Athlétisme,2020-06-22,0.0,0.0
8804,Athlétisme,2020-06-23,0.0,0.0
8805,Athlétisme,2020-06-24,0.0,0.0
8806,Athlétisme,2020-06-25,0.0,0.0
8807,Athlétisme,2020-06-26,0.0,0.0
8808,Athlétisme,2020-06-27,0.0,0.0
8809,Athlétisme,2020-06-28,0.0,0.0
8810,Athlétisme,2020-06-29,0.0,0.0
8811,Athlétisme,2020-06-30,0.0,0.0
8812,Athlétisme,2020-07-01,0.0,0.0
8813,Athlétisme,2020-07-02,0.0,0.0
8814,Athlétisme,2020-07-03,0.0,0.0
8815,Athlétisme,2020-07-04,0.0,0.0
8816,Athlétisme,2020-07-05,0.0,0.0
8817,Athlétisme,2020-07-06,0.0,0.0
8818,Athlétisme,2020-07-07,0.0,0.0
8819,Athlétisme,2020-07-08,0.0,0.0
8820,Athlétisme,2020-07-09,0.0,0.0
8821,Athlétisme,2020-07-10,0.0,0.0
8822,Athlétisme,2020-07-11,0.0,0.0
8823,Athlétisme,2020-07-12,0.0,0.0
8824,Athlétisme,2020-07-13,0.0,0.0
8825,Athlétisme,2020-07-14,0.0,0.0
8826,Athlétisme,2020-07-15,0.0,0.0
8827,Athlétisme,2020-07-16,0.0,0.0
8828,Athlétisme,2020-07-17,0.0,0.0
8829,Athlétisme,2020-07-18,0.0,0.0
8830,Athlétisme,2020-07-19,0.0,0.0
8831,Athlétisme,2020-07-20,0.0,0.0
8832,Athlétisme,2020-07-21,0.0,0.0
8833,Athlétisme,2020-07-22,0.0,0.0
8834,Athlétisme,2020-07-23,0.0,0.0
8835,Athlétisme,2020-07-24,0.0,0.0
8836,Athlétisme,2020-07-25,0.0,0.0
8837,Athlétisme,2020-07-26,0.0,0.0
8838,Athlétisme,2020-07-27,0.0,0.0
8839,Athlétisme,2020-07-28,0.0,0.0
8840,Athlétisme,2020-07-29,0.0,0.0
