date,cases,cases_moving_avg,death_moving_avg,deaths,hospi_moving_avg,hospi
2020-03-15,13,21.0,0.43,0,8.14,8
2020-03-16,17,30.86,0.57,1,10.14,5
2020-03-17,44,48.71,0.57,1,12.29,11
2020-03-18,43,72.43,0.71,1,14.71,15
2020-03-19,76,104.71,0.71,1,17.86,18
2020-03-20,129,151.57,1.0,0,21.86,23
2020-03-21,185,183.86,1.14,1,26.14,23
2020-03-22,239,230.43,2.14,0,30.71,30
2020-03-23,345,271.71,3.29,3,37.43,33
2020-03-24,270,317.71,3.71,2,40.0,41
2020-03-25,369,351.14,5.57,8,43.57,47
2020-03-26,365,398.43,7.0,9,49.29,65
2020-03-27,451,432.0,8.43,3,55.29,41
2020-03-28,419,497.86,10.43,14,60.43,48
2020-03-29,570,545.43,11.57,10,65.71,70
2020-03-30,580,618.71,13.43,13,66.86,75
2020-03-31,731,664.86,18.43,16,74.0,77
2020-04-01,702,719.71,22.71,16,79.29,84
2020-04-02,878,728.71,28.14,22,80.14,73
2020-04-03,774,771.43,33.57,38,83.14,91
2020-04-04,803,780.14,39.43,44,89.57,85
2020-04-05,633,778.86,45.43,48,91.86,76
2020-04-06,879,760.43,51.86,51,97.14,96
2020-04-07,792,741.0,56.14,57,99.71,122
2020-04-08,693,721.57,59.86,58,101.86,100
2020-04-09,749,744.57,65.57,67,105.14,110
2020-04-10,638,757.0,71.86,68,105.0,109
2020-04-11,667,781.0,76.86,70,104.57,100
2020-04-12,794,838.86,82.71,88,108.71,99
2020-04-13,966,869.86,86.43,95,109.86,95
2020-04-14,960,925.43,89.29,92,111.43,119
2020-04-15,1098,925.43,93.43,99,114.0,129
2020-04-16,966,929.86,98.71,93,114.14,118
2020-04-17,1027,922.0,99.86,88,116.14,120
2020-04-18,667,901.0,103.14,99,122.0,118
2020-04-19,825,871.71,105.86,125,122.14,100
2020-04-20,911,864.14,109.14,103,119.71,109
2020-04-21,813,840.43,112.86,115,119.71,160
2020-04-22,893,854.14,116.57,118,115.0,130
2020-04-23,913,825.0,114.43,116,116.29,101
2020-04-24,861,825.0,116.43,114,117.0,120
2020-04-25,763,841.0,119.71,125,111.57,85
2020-04-26,621,842.43,124.71,110,108.57,109
2020-04-27,911,855.29,125.29,117,111.0,114
2020-04-28,925,884.29,128.86,138,111.14,122
2020-04-29,903,903.57,127.29,153,111.29,109
2020-04-30,1003,928.14,125.57,120,111.14,118
2020-05-01,1064,922.0,124.57,139,108.86,121
2020-05-02,898,917.86,119.14,114,106.29,86
2020-05-03,793,936.71,110.86,98,104.0,108
2020-05-04,868,915.57,107.14,110,101.0,98
2020-05-05,896,875.14,100.14,100,95.71,104
2020-05-06,1035,854.71,97.71,95,94.29,93
2020-05-07,855,834.86,97.0,94,89.86,97
2020-05-08,781,814.71,95.14,90,88.57,84
2020-05-09,755,801.29,92.57,97,85.71,76
2020-05-10,654,765.14,88.43,93,82.86,77
2020-05-11,727,743.29,87.29,97,78.86,89
2020-05-12,802,743.86,86.43,82,78.71,84
2020-05-13,782,735.43,84.0,66,77.14,73
2020-05-14,702,745.71,80.14,86,75.71,69
2020-05-15,785,737.29,76.14,84,71.86,83
2020-05-16,696,713.29,72.71,80,68.57,65
2020-05-17,726,717.0,73.57,66,68.29,67
2020-05-18,668,718.86,69.71,69,69.29,62
2020-05-19,634,692.57,67.57,58,66.0,61
2020-05-20,808,664.86,65.29,72,64.86,71
2020-05-21,715,638.86,65.0,59,62.57,76
2020-05-22,601,616.57,63.57,69,61.0,60
2020-05-23,502,590.29,64.57,64,61.14,57
2020-05-24,544,549.29,62.71,64,57.71,51
2020-05-25,512,506.29,65.43,59,52.86,51
2020-05-26,450,481.14,64.14,65,50.57,62
2020-05-27,521,466.14,60.86,59,47.71,47
2020-05-28,414,430.14,56.71,78,45.71,42
2020-05-29,425,404.0,53.71,60,44.14,44
2020-05-30,397,372.0,49.29,41,39.43,37
2020-05-31,292,337.0,45.71,35,37.29,37
2020-06-01,329,314.71,37.0,38,34.86,40
2020-06-02,226,288.57,32.43,34,33.29,29
2020-06-03,276,267.14,30.29,34,31.86,32
2020-06-04,258,252.29,28.43,17,30.71,25
2020-06-05,242,222.0,25.43,28,27.86,33
2020-06-06,247,213.43,23.29,26,27.29,27
2020-06-07,188,198.29,21.14,22,26.14,29
2020-06-08,117,183.14,21.71,17,26.14,20
2020-06-09,166,173.86,20.43,19,25.43,25
2020-06-10,170,156.29,19.14,19,23.86,24
2020-06-11,152,142.86,17.57,21,20.86,25
2020-06-12,177,142.14,17.57,19,19.71,28
2020-06-13,124,137.29,16.14,17,18.14,16
2020-06-14,94,130.14,14.71,11,17.29,8
2020-06-15,112,127.86,12.57,17,15.43,12
2020-06-16,132,121.57,11.71,9,13.57,14
2020-06-17,120,117.57,9.86,9,13.43,18
2020-06-18,136,115.43,9.71,6,14.14,12
2020-06-19,133,111.43,8.43,13,14.43,15
2020-06-20,96,106.0,9.0,4,13.71,15
2020-06-21,79,101.43,9.86,10,13.71,13
2020-06-22,84,95.0,10.0,8,13.86,14
2020-06-23,94,88.14,8.57,13,14.14,9
2020-06-24,88,87.0,8.57,15,13.86,18
2020-06-25,91,84.0,7.86,7,13.57,13
2020-06-26,85,80.71,8.29,3,12.86,17
2020-06-27,88,81.43,7.43,4,13.71,13
2020-06-28,58,79.14,6.14,5,12.57,11
2020-06-29,61,76.14,6.29,11,12.29,9
2020-06-30,99,77.0,6.57,7,11.57,15
